id,context,question,option_a,option_b,option_c,option_d,correct_answer
659,"Spațiile de nume pot fi extinse în fișiere diferite, ceea ce permite organizarea modulară a codului.",Care este avantajul principal al extinderii unui namespace în mai multe fișiere?,Reduce dimensiunea executabilului,Permite organizarea modulară și extinderea codului fără conflicte,Optimizează memoria heap,Permite moștenirea spațiilor de nume,B
660,Operatorul delete oferă protecție în cazul dealocării unui pointer NULL.,Ce se întâmplă dacă operatorul delete este aplicat unui pointer NULL în C++?,Programul intră în stare de blocare,Instrucțiunea este ignorată fără efecte secundare,Pointerul este resetat automat la 0,Se produce o eroare de execuție,B
661,Compunerea obiectelor reprezintă o metodă de reutilizare a codului prin includerea unor obiecte ca membri ai altor clase.,Ce este compunerea obiectelor în C++?,Un tip special de moștenire multiplă,Un mecanism de moștenire între clase,O metodă de conversie între clase,O metodă de reutilizare a codului prin includerea obiectelor altor clase,D
662,"În compunere, o clasă conține ca membri obiecte aparținând altor clase.",Cum se realizează compunerea între clase în C++?,Prin moștenirea publică a unei clase de bază,Prin declararea obiectelor altor clase ca membri ai noii clase,Prin suprascrierea metodelor clasei părinte,Prin utilizarea pointerilor globali,B
663,Compunerea se diferențiază de moștenire prin faptul că nu preia interfața clasei componente.,Care este principala diferență între compunere și moștenire?,Moștenirea se aplică doar între clase prietene,"Compunerea folosește interfața clasei componente, moștenirea nu",Compunerea nu preia interfața clasei componente,Compunerea se face automat în toate clasele derivate,C
664,Relația de compunere se numește și relație de apartenență între clase.,Cum mai este denumită relația de compunere?,Relație de apartenență,Relație de moștenire multiplă,Relație de derivare,Relație statică,A
665,"Într-o clasă compusă, obiectele componente pot fi declarate ca publice sau private.",Care este nivelul de acces recomandat pentru obiectele componente?,Public,Extern,"Private, pentru a ascunde detaliile de implementare",Protected,C
666,"Dacă obiectele componente sunt publice, membrii lor pot fi accesați direct.",Cum pot fi accesați membrii unei componente publice?,Prin operatorul de selecție '.' aplicat obiectului component,Prin conversie de tip,Doar prin metodele clasei compuse,Prin operatorul de rezoluție ::,A
667,"Când obiectele componente sunt private, accesul la acestea se face prin metode dedicate ale clasei compuse.",Cum se accesează membrii unui obiect component privat?,Prin operatorul de rezoluție ::,Prin funcții publice de acces ale clasei compuse,Prin conversie explicită de tip,"Direct, prin operatorul '.'",B
668,"În UML, relația de compunere este reprezentată printr-un romb negru orientat către clasa compusă.",Cum este reprezentată grafic relația de compunere în UML?,Prin o săgeată dublă,Prin un romb negru orientat spre clasa compusă,Prin o săgeată simplă,Prin o linie punctată,B
669,Lista de inițializare a membrilor este utilizată pentru a apela constructorii obiectelor componente.,Ce rol are lista de inițializare a membrilor?,Stabilește vizibilitatea membrilor,Permite apelul constructorilor pentru obiectele componente,Inițializează destructorii clasei,Definește ordinea de distrugere a obiectelor,B
670,"Lista de inițializare se declară după antetul constructorului și înaintea corpului acestuia, fiind precedată de ':'",Cum se scrie o listă de inițializare a membrilor?,După corpul constructorului,În interiorul destructorului,"După antetul constructorului, precedată de ':'",În afara declarației clasei,C
671,Un element din lista de inițializare specifică un membru al clasei și argumentele transmise constructorului acestuia.,Ce conține un element al listei de inițializare?,Numele membrului și valorile transmise constructorului,Doar valorile de inițializare,Numele clasei și tipul de date,Numele funcțiilor virtuale,A
672,Ordinea de apel a constructorilor în lista de inițializare este dată de ordinea declarării obiectelor în clasă.,De ce factor depinde ordinea apelării constructorilor componentelor?,De ordinea alfabetică a numelor,De tipul de date al membrilor,De ordinea din lista de inițializare,De ordinea declarării membrilor în clasă,D
673,Destructorii obiectelor componente se apelează automat în ordinea inversă declarării lor în clasă.,În ce ordine se apelează destructorii obiectelor componente?,Aleatoriu,În aceeași ordine cu constructorii,După ordinea de inițializare din listă,În ordine inversă față de constructori,D
674,"Constructorii componentelor sunt apelați automat, chiar dacă nu sunt specificați explicit în lista de inițializare.",Când sunt apelați constructorii impliciți ai obiectelor componente?,Doar în cazul moștenirii,"Automat, dacă nu sunt specificați în lista de inițializare",După destructorul clasei compuse,Numai dacă sunt apelați explicit,B
675,Ordinea de apel a constructorilor nu depinde de poziția elementelor din lista de inițializare.,Ce determină ordinea reală de apel a constructorilor în clasa compusă?,Ordinea declarării membrilor în clasă,Ordinea apariției în listă,Ordinea alfabetică a numelor,Ordinea apelului destructorilor,A
676,Folosirea consecventă a listei de inițializare asigură o inițializare sigură a tuturor datelor membru.,De ce este recomandată utilizarea listei de inițializare pentru toți membrii unei clase compuse?,Pentru a reduce dimensiunea codului,Pentru a garanta inițializarea sigură a tuturor membrilor,Pentru a evita apelurile recursive,Pentru a simplifica destructorul,B
677,"În exemplul cu clasele A și B, obiectele componente sunt inițializate înaintea corpului constructorului clasei X.",Când sunt inițializate obiectele componente ale unei clase?,Înainte de execuția corpului constructorului,După terminarea programului,După execuția corpului constructorului,În timpul apelului destructorului,A
678,Un stil de programare consecvent impune ca lista de inițializare să includă toți membrii clasei.,Ce recomandare este făcută privind completitudinea listei de inițializare?,Să nu includă date de tip primitiv,Să includă doar membrii publici,Să includă doar membrii pointer,Să includă toți membrii clasei pentru o inițializare sigură,D
679,"Dacă un obiect component are un constructor implicit, nu este necesar apelul explicit în lista de inițializare.",Când poate fi omis un element din lista de inițializare?,Când este statică,Când este un pointer null,Când este protejată,Când componenta are un constructor implicit,D
680,Destructorii pentru obiectele componente se apelează după terminarea destructorului obiectului compus.,Care este ordinea apelării destructorilor într-o clasă compusă?,"Întâi pentru componente, apoi pentru obiectul compus","Întâi pentru obiectul compus, apoi pentru componente",Depinde de tipul destructorului,Aleatorie,B
681,Ordinea de apelare a destructorilor urmează inversul ordinii declarării membrilor în clasă.,Cum se determină ordinea de apel a destructorilor componentelor?,După ordinea din lista de inițializare,După ordinea alfabetică a numelor,După tipul datelor membru,În ordinea inversă declarării în clasă,D
682,"Lista de inițializare poate include și variabile de tipuri predefinite, tratate ca pseudo-constructori.",Cum se comportă inițializarea variabilelor predefinite în lista de inițializare?,Ca alocări dinamice,Ca pointeri const,Ca funcții virtuale,Ca pseudo-constructori,D
683,Un pseudo-constructor este folosit pentru inițializarea variabilelor de tip predefinit.,Ce este un pseudo-constructor?,O formă de inițializare pentru variabile predefinite,O funcție care alocă memorie,O metodă statică de copiere,Un constructor care returnează pointeri,A
684,"În exemplul cu clasele A1 și A2, constructorii acestora sunt apelați automat înaintea constructorului clasei A.","Ce ordine de apelare a constructorilor apare în compunerea claselor A, A1 și A2?",A2 → A1 → A,A1 → A2 → A,A → A1 → A2,Aleatorie,B
685,"Destructorii claselor A1 și A2 sunt apelați în ordine inversă: întâi A2, apoi A1.","Ce ordine de apelare a destructorilor se observă în exemplul cu clasele A1, A2 și A?",A2 → A1,A1 → A2,A1 → A → A2,A → A1 → A2,A
686,"Obiectele componente pot avea proprii constructori și destructori, apelați automat în timpul creării sau distrugerii obiectului compus.",Cum sunt gestionate obiectele componente ale unei clase?,Sunt gestionate automat de constructorii și destructorii clasei compuse,Trebuie create și distruse manual,Sunt inițializate doar în funcția main,Sunt create doar dacă sunt publice,A
687,Constructorii și destructorii obiectelor componente sunt apelați recursiv dacă acestea conțin la rândul lor alte obiecte.,Cum se comportă constructorii în cazul compunerii recursive?,Se apelează doar la primul nivel de compunere,Nu pot fi apelați,Sunt ignorați de compilator,Se apelează recursiv în lanț,D
688,Ordinea apelului constructorilor determină și ordinea în care obiectele componente sunt inițializate.,Ce determină ordinea de inițializare a obiectelor compuse?,Ordinea din lista de inițializare,Tipul variabilelor membre,Ordinea declarării membrilor în clasă,Ordinea alfabetică a numelor,C
689,Destructorii sunt apelați automat la sfârșitul domeniului de viață al obiectului compus.,Când sunt apelați destructorii într-o clasă compusă?,Când se execută constructorul implicit,Când obiectul compus iese din domeniul de vizibilitate,Când se creează o copie a obiectului,La începutul programului,B
690,"În exemplul din curs, ieșirea din funcția main() produce apelul destructorilor în ordinea inversă creării obiectului X și componentelor sale.","Ce se întâmplă la sfârșitul funcției main() în exemplul cu clasele A1, A2, A, B și X?",Destructorii sunt apelați aleatoriu,"Se apelează destructorii X, B, A, A2 și A1 în ordine inversă construirii",Destructorii sunt apelați doar pentru clasele de bază,Se apelează doar destructorul clasei X,B
